id,api,grade,afsc,aircraft,unit,state,location,conus
2,6,4,11F3Y,General,36 OPERATIONS SUPPORT SQUADRON,TX,ANDERSEN,CONUS
3,0,5,11F4H,F-16,ANG READINESS - FOA (OL VAAR),TX,ARLINGTON,CONUS
4,0,6,11F4B,A-10,ANG READINESS - FOA (OL VAAR),TX,ARLINGTON,CONUS
5,8,4,11F4H,F-16,ANG READINESS - FOA,TX,JB ANDREWS,CONUS
6,8,5,11F4J,F-22,ANG READINESS - FOA,TX,JB ANDREWS,CONUS
7,8,6,11F4H,F-16,ANG READINESS - FOA,TX,JB ANDREWS,CONUS
8,0,5,12F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY (OL EWY),TX,NEW YORK,CONUS
9,6,4,11F3N,F-35,AFELM DCMA,TX,CAMERI,CONUS
10,1,4,11F3F,F-15,AFELM DCMA,TX,GIMHAE INTL,CONUS
11,1,3,11F3F,F-15,AFELM DCMA,TX,ST LOUIS,CONUS
12,2,4,12F3F,F-15E WSO,AFELM DCMA,TX,ST LOUIS,CONUS
13,1,3,11F3H,F-16,AFELM DCMA,TX,FT WORTH,CONUS
14,1,4,11F3N,F-35,AFELM DCMA,TX,FT WORTH,CONUS
15,6,5,11F3H,F-16,AFELM DCMA,TX,FT WORTH,CONUS
16,4,5,11F4Y,General,AFELM ARMY WAR COL ELEMENT,TX,CARLISLE BARRACKS,CONUS
17,4,6,12F4Y,General,AFELM ARMY WAR COL ELEMENT,TX,CARLISLE BARRACKS,CONUS
18,6,3,11F3H,F-16,31 FIGHTER WING,TX,AVIANO,OCONUS
19,6,4,11F3Y,General,31 FIGHTER WING,TX,AVIANO,OCONUS
20,6,2,11F3H,F-16,31 OPERATIONS SUPPORT SQUADRON,TX,AVIANO,OCONUS
21,6,3,11F3H,F-16,31 OPERATIONS SUPPORT SQUADRON,TX,AVIANO,OCONUS
22,6,4,11F3H,F-16,31 OPERATIONS SUPPORT SQUADRON,TX,AVIANO,OCONUS
23,6,5,11F3Y,General,31 OPERATIONS SUPPORT SQUADRON,TX,AVIANO,OCONUS
24,6,4,11F3H,F-16,31 OPERATIONS GROUP,TX,AVIANO,OCONUS
25,6,5,11F3H,F-16,31 OPERATIONS GROUP,TX,AVIANO,OCONUS
26,1,2,11F3H,F-16,510 FIGHTER SQUADRON,TX,AVIANO,OCONUS
27,1,3,11F3H,F-16,510 FIGHTER SQUADRON,TX,AVIANO,OCONUS
28,1,4,11F3H,F-16,510 FIGHTER SQUADRON,TX,AVIANO,OCONUS
29,6,5,11F3H,F-16,510 FIGHTER SQUADRON,TX,AVIANO,OCONUS
30,1,2,11F3H,F-16,555 FIGHTER SQUADRON,TX,AVIANO,OCONUS
31,1,3,11F3H,F-16,555 FIGHTER SQUADRON,TX,AVIANO,OCONUS
32,1,4,11F3H,F-16,555 FIGHTER SQUADRON,TX,AVIANO,OCONUS
33,6,5,11F3H,F-16,555 FIGHTER SQUADRON,TX,AVIANO,OCONUS
